vote_event_id,voter_id,option
48706,5800,yes
48706,5760,yes
48706,5812,yes
48706,5814,yes
48706,5798,yes
48706,5786,not voting
48706,4873,yes
48706,4342,yes
48706,5762,yes
48706,4879,yes
48706,5810,yes
48706,5758,yes
48706,5742,yes
48706,5768,yes
48706,5770,yes
48706,5752,yes
48706,5744,yes
48706,5776,yes
48706,4895,yes
48706,5790,not voting
48706,5660,yes
48706,5740,yes
48706,5796,yes
48706,5764,yes
48706,5778,yes
48706,5750,yes
48706,5780,yes
48706,4905,yes
48706,5656,yes
48706,4522,yes
48706,5816,yes
48706,5794,yes
48706,5746,yes
48706,5754,not voting
48706,4913,yes
48706,4915,yes
48706,4919,yes
48706,5808,yes
48706,4921,yes
48706,4923,yes
48706,5728,yes
48706,5766,yes
48706,5357,yes
48706,5772,yes
48706,4931,yes
48706,5738,yes
48706,5788,yes
48706,5736,yes
48706,5806,yes
48706,5818,yes
48706,4316,yes
48706,5748,yes
48706,5734,yes
48706,5782,yes
48706,4350,yes
48706,5756,yes
48706,3925,yes
48706,5774,yes
48706,5792,yes
48706,4941,yes
48706,4943,yes
48706,5732,not voting
48706,5730,yes
48706,5802,yes
48706,5784,yes
48708,5800,yes
48708,5760,yes
48708,5812,yes
48708,5814,yes
48708,5798,yes
48708,5786,yes
48708,4873,yes
48708,4342,yes
48708,5762,yes
48708,4879,yes
48708,5810,yes
48708,5758,yes
48708,5742,yes
48708,5768,yes
48708,5770,yes
48708,5752,yes
48708,5744,yes
48708,5776,yes
48708,4895,yes
48708,5790,yes
48708,5660,yes
48708,5740,yes
48708,5796,yes
48708,5764,yes
48708,5778,yes
48708,5750,yes
48708,5780,yes
48708,4905,yes
48708,5656,yes
48708,4522,yes
48708,5816,yes
48708,5794,yes
48708,5746,yes
48708,5754,yes
48708,4913,yes
48708,4915,yes
48708,4919,yes
48708,5808,yes
48708,4921,yes
48708,4923,yes
48708,5728,yes
48708,5766,yes
48708,5357,yes
48708,5772,yes
48708,4931,yes
48708,5738,yes
48708,5788,yes
48708,5736,yes
48708,5806,yes
48708,5818,yes
48708,4316,yes
48708,5748,yes
48708,5734,yes
48708,5782,yes
48708,4350,yes
48708,5756,yes
48708,3925,yes
48708,5774,yes
48708,5792,yes
48708,4941,yes
48708,4943,yes
48708,5732,yes
48708,5730,not voting
48708,5802,yes
48708,5784,yes
48710,5800,abstain
48710,5760,abstain
48710,5812,yes
48710,5814,yes
48710,5798,abstain
48710,5786,abstain
48710,4873,abstain
48710,4342,no
48710,5762,abstain
48710,4879,yes
48710,5810,yes
48710,5758,abstain
48710,5742,yes
48710,5768,no
48710,5770,no
48710,5752,no
48710,5744,abstain
48710,5776,not voting
48710,4895,yes
48710,5790,abstain
48710,5660,abstain
48710,5740,yes
48710,5796,no
48710,5764,abstain
48710,5778,abstain
48710,5750,abstain
48710,5780,abstain
