name,candidate_list,party_suggesting,party_member
Petr Kužel,Občanská demokratická strana,ODS,ODS
František Adámek,Česká str.sociálně demokrat.,ČSSD,ČSSD
Jiří Paroubek,Česká str.sociálně demokrat.,ČSSD,ČSSD
Igor Němec,Občanská demokratická strana,ODS,ODS
Pavel Ambrož,Komunistická str.Čech a Moravy,KSČM,KSČM
Zdeněk Bašný,Demokraté Jana Kasla,SD-SN,BEZPP
Ivan Bednář,Občanská demokratická strana,ODS,ODS
Pavel Bém,Občanská demokratická strana,ODS,ODS
František Bílek,Občanská demokratická strana,ODS,ODS
Rudolf Blažek,Občanská demokratická strana,ODS,ODS
Jan Bürgermeister,Občanská demokratická strana,ODS,ODS
Ivana Bursíková,Demokraté Jana Kasla,SD-SN,SD-SN
Bohumil Černý,Občanská demokratická strana,ODS,ODS
Milan Český,Občanská demokratická strana,ODS,ODS
Jan Choděra,Česká str.sociálně demokrat.,ČSSD,ČSSD
Tomáš Dub,Občanská demokratická strana,ODS,ODS
Karel Fischer,Demokraté Jana Kasla,SD-SN,ODA
Miroslav Froněk,Občanská demokratická strana,ODS,ODS
Ondřej Gál,Občanská demokratická strana,ODS,ODS
Miloš Gregar,Občanská demokratická strana,ODS,ODS
Michael Gregor,Občanská demokratická strana,ODS,ODS
Lubomír Habrnal,Česká str.sociálně demokrat.,ČSSD,ČSSD
Hana Halová,Česká str.sociálně demokrat.,ČSSD,ČSSD
Martin Hejl,Občanská demokratická strana,ODS,ODS
František Hoffman,Komunistická str.Čech a Moravy,KSČM,KSČM
Petr Horák,Unie svobody-Demokratická unie,US-DEU,US-DEU
Marián Hošek,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL,KDU-ČSL
Petr Hulinský,Česká str.sociálně demokrat.,ČSSD,ČSSD
Pavel Hurda,Občanská demokratická strana,ODS,ODS
Michael Hvížďala,Unie svobody-Demokratická unie,US-DEU,US-DEU
Milan Jančík,Občanská demokratická strana,ODS,ODS
Monika Janíková,Demokraté Jana Kasla,SD-SN,SD-SN
Vítězslav Jaroš,Komunistická str.Čech a Moravy,KSČM,KSČM
Petr Jirava,Sdr.nez.-Strana zelených-SOS,SNK ED,SNK ED
Jiří Kaňák,Demokraté Jana Kasla,SD-SN,BEZPP
Jan Kasl,Demokraté Jana Kasla,SD-SN,SD-SN
Pavel Klega,Občanská demokratická strana,ODS,ODS
Marie Kousalíková,Občanská demokratická strana,ODS,ODS
Zdeněk Kovářík,Občanská demokratická strana,ODS,ODS
Karel Koželuh,Demokraté Jana Kasla,SD-SN,SD-SN
Martin Kroh,Demokraté Jana Kasla,SD-SN,BEZPP
Martin Langmajer,Občanská demokratická strana,ODS,ODS
František Laudát,Občanská demokratická strana,ODS,ODS
Miloslav Ludvík,Česká str.sociálně demokrat.,ČSSD,ČSSD
Jan Lukavský,Občanská demokratická strana,ODS,ODS
Josef Mach,Komunistická str.Čech a Moravy,KSČM,KSČM
Karel Matouš,Česká str.sociálně demokrat.,ČSSD,ČSSD
Jan Mihaliček,Demokraté Jana Kasla,SD-SN,SD-SN
Petr Moos,Sdr.nez.-Strana zelených-SOS,SNK ED,BEZPP
Richard Nigrini,Občanská demokratická strana,ODS,ODS
Tomáš Novotný,Česká str.sociálně demokrat.,ČSSD,ČSSD
Viktor Pázler,Komunistická str.Čech a Moravy,KSČM,KSČM
Ondřej Pecha,Občanská demokratická strana,ODS,ODS
Miroslav Poche,Česká str.sociálně demokrat.,ČSSD,ČSSD
Vladimír Polanecký,Česká str.sociálně demokrat.,ČSSD,ČSSD
Miroslav Prokeš,Komunistická str.Čech a Moravy,KSČM,KSČM
Markéta Reedová,Demokraté Jana Kasla,SD-SN,SD-SN
Vladimír Řihák,Občanská demokratická strana,ODS,ODS
Josef Růžička,Komunistická str.Čech a Moravy,KSČM,KSČM
Alena Samková,Občanská demokratická strana,ODS,ODS
Olga Sedláčková,Demokraté Jana Kasla,SD-SN,BEZPP
Jan Slezák,Česká str.sociálně demokrat.,ČSSD,ČSSD
František Stádník,Občanská demokratická strana,ODS,ODS
Radovan Šteiner,Občanská demokratická strana,ODS,ODS
Jan Štrof,Česká str.sociálně demokrat.,ČSSD,ČSSD
Milan Urban,Demokraté Jana Kasla,SD-SN,CZ
Tomáš Vavřinec,Občanská demokratická strana,ODS,ODS
Petr Vlasák,Demokraté Jana Kasla,SD-SN,DL
Jana Vohralíková,Demokraté Jana Kasla,SD-SN,BEZPP
"Jiří Witzany,",Demokraté Jana Kasla,SD-SN,SD-SN
Petr Zajíček,Komunistická str.Čech a Moravy,KSČM,KSČM
Pavel Žďárský,Občanská demokratická strana,ODS,ODS
